Path,Explanation,Inhibited
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'CDK2', 'CDK2(Y15)', 'up', 'conflicting'], ['CDK2(Y15)', 'up', 'conflicting', 'CDC25A', 'CDC25A(S18)', 'down', 'p_inc'], ['CDC25A(S18)', 'down', 'p_inc', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK1', 'MAPK1(Y187)', 'up', 'conflicting'], ['MAPK1(Y187)', 'up', 'conflicting', 'DUSP4', 'na', 'na', 'na'], Variable(898)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'CDK2', 'CDK2(Y15)', 'up', 'conflicting'], ['CDK2(Y15)', 'up', 'conflicting', 'CDC25A', 'CDC25A(S18)', 'down', 'p_inc'], ['CDC25A(S18)', 'down', 'p_inc', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK1', 'MAPK1(Y187)', 'up', 'conflicting'], ['MAPK1(Y187)', 'up', 'conflicting', 'MAP2K1', 'na', 'na', 'na'], Variable(907)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'PPP1CA', 'PPP1CA(T320)', 'up', 'conflicting'], ['PPP1CA(T320)', 'up', 'conflicting', 'CDK1', 'CDK1(T161)', 'up', 'p_inc'], ['CDK1(T161)', 'up', 'p_inc', 'CDK7', 'CDK7(T170)', 'up', 'p_inc'], ['CDK7(T170)', 'up', 'p_inc', 'CDK2', 'CDK2(T160)', 'up', 'conflicting'], ['CDK2(T160)', 'up', 'conflicting', 'CDK2', 'CDK2(Y15)', 'up', 'conflicting'], ['CDK2(Y15)', 'up', 'conflicting', 'CDC25A', 'CDC25A(S18)', 'down', 'p_inc'], ['CDC25A(S18)', 'down', 'p_inc', 'MAPK3', 'MAPK3(T202)', 'up', 'conflicting'], ['MAPK3(T202)', 'up', 'conflicting', 'MAPK3', 'MAPK3(T207)', 'up', 'p_inc'], ['MAPK3(T207)', 'up', 'p_inc', 'MAPK1', 'MAPK1(Y187)', 'up', 'conflicting'], ['MAPK1(Y187)', 'up', 'conflicting', 'MAP2K2', 'MAP2K2(S226)', 'unaffected', 'p_inc'], Variable(930)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'ACP1', 'na', 'na', 'na'], Variable(150)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'MAPKAPK2', 'na', 'na', 'na'], Variable(159)]",no_data,unlikely
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S1261)', 'unaffected', 'unknown'], Variable(182)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S1891)', 'down', 'unknown'], ['MTOR(S1891)', 'down', 'unknown', 'na', 'na', 'na', 'na'], Variable(192)]",no_prior_knowledge,_936
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S2448)', 'unaffected', 'conflicting'], Variable(182)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(S2454)', 'unaffected', 'p_inc'], Variable(182)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'MTOR', 'MTOR(T1262)', 'unaffected', 'unknown'], Variable(159)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S190)', 'unaffected', 'unknown'], Variable(173)]",unaffected,_936
"[['AKT1(S473)', 'up', 'conflicting', 'PHLPP1', 'PHLPP1(S317)', 'unaffected', 'unknown'], Variable(173)]",unaffected,_936
